,Bedroom,Bathroom,Den,Address,Lat,Long,Price,Postal Code,Neighborhood,Borough
95,2,1.5,0,M5V,43.6421316,-79.4013687,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
96,1,1.0,0,M5V,43.6454236,-79.3962213,2200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
97,1,1.0,0,M5V,43.6361646,-79.4033004,2200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
98,2,1.0,0,M5V,43.6412101,-79.3938921,2600.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
99,1,1.0,0,M5V,43.6452974,-79.3923967,4700.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
100,1,1.0,0,M5V,43.6469441,-79.3923973,2050.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
101,2,2.0,0,M5V,43.6344756,-79.4015886,3300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
102,1,1.0,0,M5V,43.644628600000004,-79.3929331,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
103,1,1.0,0,M5V,43.6394055,-79.3932324,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
104,1,1.0,1,M5V,43.6405271,-79.397104,2350.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
105,1,1.0,0,M5V,43.6413078,-79.4000933,850.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
106,2,2.0,0,M5V,43.6366681,-79.40044509999998,2600.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
107,1,1.0,0,M5V,43.6394055,-79.3932324,2000.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
