,Bedroom,Bathroom,Den,Lat,Long,Price,Postal Code,Borough,Downtown Proximity,Borough Color
220,1,1.0,0,43.6606054,-79.37863540000002,1850.0,M5B,Downtown Toronto,0.0687251904720223,1
221,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
222,1,1.5,1,43.6606054,-79.37863540000002,2300.0,M5B,Downtown Toronto,0.0687251904720223,1
223,1,1.0,0,43.660846,-79.3787556,1850.0,M5B,Downtown Toronto,0.06968947332027019,1
224,2,2.0,0,43.661198,-79.3816644,2800.0,M5B,Downtown Toronto,0.059776512303698445,1
225,1,1.0,0,43.661198,-79.3816644,2000.0,M5B,Downtown Toronto,0.059776512303698445,1
226,1,1.0,0,43.6598307,-79.3805207,2300.0,M5B,Downtown Toronto,0.053380674981008,1
227,1,1.0,0,43.6621286,-79.37695759999998,1305.0,M5B,Downtown Toronto,0.08851150369743012,1
228,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
229,2,2.0,0,43.6619074,-79.3782085,4000.0,M5B,Downtown Toronto,0.08000828001595091,1
230,1,1.0,0,43.6604566,-79.37849720000001,2000.0,M5B,Downtown Toronto,0.06853031104289835,1
231,3,2.0,0,43.6606054,-79.37863540000002,3200.0,M5B,Downtown Toronto,0.0687251904720223,1
232,2,1.0,0,43.66053970000001,-79.37866170000002,2800.0,M5B,Downtown Toronto,0.0681349268848287,1
233,2,1.0,0,43.6578373,-79.38060870000002,1200.0,M5B,Downtown Toronto,0.038999680344214235,1
234,1,1.0,0,43.6543938,-79.3759018,1930.0,M5B,Downtown Toronto,0.0655428414188352,1
235,1,1.0,0,43.6598307,-79.3805207,1700.0,M5B,Downtown Toronto,0.053380674981008,1
236,2,2.0,0,43.655111,-79.3756429,2990.0,M5B,Downtown Toronto,0.06842767827441668,1
237,1,1.0,0,43.6606054,-79.37863540000002,2250.0,M5B,Downtown Toronto,0.0687251904720223,1
238,1,1.0,0,43.6576911,-79.3801612,1800.0,M5B,Downtown Toronto,0.04089616789257239,1
239,3,1.0,0,43.6606054,-79.37863540000002,3200.0,M5B,Downtown Toronto,0.0687251904720223,1
240,2,1.0,0,43.66053970000001,-79.37866170000002,2700.0,M5B,Downtown Toronto,0.0681349268848287,1
241,1,1.0,0,43.659534,-79.3773535,2000.0,M5B,Downtown Toronto,0.07018802995694334,1
242,1,1.0,0,43.65470379999999,-79.3789125,1980.0,M5B,Downtown Toronto,0.03946232452698928,1
243,1,1.0,0,43.6578373,-79.38060870000002,800.0,M5B,Downtown Toronto,0.038999680344214235,1
244,1,1.0,0,43.6546239,-79.3790756,2250.0,M5B,Downtown Toronto,0.0379434516479079,1
245,1,1.0,0,43.6546239,-79.3790756,2250.0,M5B,Downtown Toronto,0.0379434516479079,1
246,1,1.0,0,43.6544596,-79.37581379999997,1700.0,M5B,Downtown Toronto,0.06635062806925797,1
247,1,1.0,0,43.660846,-79.3787556,1800.0,M5B,Downtown Toronto,0.06968947332027019,1
248,3,2.0,0,43.6616535,-79.37755820000002,3999.0,M5B,Downtown Toronto,0.08188618298285193,1
249,2,2.0,0,43.6611027,-79.3821061,2800.0,M5B,Downtown Toronto,0.05775682878611986,1
250,1,1.5,1,43.66053970000001,-79.37866170000002,2300.0,M5B,Downtown Toronto,0.0681349268848287,1
251,1,1.0,0,43.6547069,-79.379245,1650.0,M5B,Downtown Toronto,0.036576563466958645,1
252,2,1.0,0,43.653636,-79.38087259999998,2200.0,M5B,Downtown Toronto,0.0218084062654278,1
253,2,2.0,0,43.6410868,-79.3814048,2900.0,M5J,Downtown Toronto,0.10719503344976569,1
254,1,1.0,1,43.6408157,-79.38175229999997,2350.0,M5J,Downtown Toronto,0.10890133776018901,1
255,1,1.0,1,43.6418726,-79.3819064,2400.0,M5J,Downtown Toronto,0.09952149309435598,1
256,2,2.0,0,43.6423144,-79.3812291,3100.0,M5J,Downtown Toronto,0.0970760839322951,1
257,1,1.0,0,43.6410868,-79.3814048,2200.0,M5J,Downtown Toronto,0.10719503344976569,1
258,1,1.0,0,43.6410868,-79.3814048,2200.0,M5J,Downtown Toronto,0.10719503344976569,1
259,2,2.0,0,43.6410868,-79.3814048,2900.0,M5J,Downtown Toronto,0.10719503344976569,1
260,2,2.0,0,43.6410868,-79.3814048,2900.0,M5J,Downtown Toronto,0.10719503344976569,1
